                          length,                      num_threads,              desired bucket size,          final bucket size coeff,            total length schedule,           buckets count schedule,                allocation preset,                algorithm version,                      bucket type,                      time (mean),                       time (std)
                          131072,                                8,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                            5.016,                          0.45687
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          3.47188,                          0.23255
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          3.08976,                         0.450987
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                           4.7397,                         0.282831
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          5.35967,                         0.415399
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.36742,                         0.155751
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,            fixed size (lockfree),                          2.59383,                         0.480286
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                           4.4072,                         0.127127
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          4.79982,                         0.334501
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                            3.192,                         0.135859
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,            fixed size (lockfree),                          2.56256,                          0.35992
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          4.64086,                         0.158538
                          131072,                                8,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          4.76274,                         0.201569
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          2.61345,                        0.0529945
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          3.67152,                         0.160746
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          2.32652,                        0.0521281
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          2.34734,                        0.0770181
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          3.47159,                         0.185584
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          2.40138,                         0.153812
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          2.50747,                        0.0763795
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          3.48436,                         0.141857
                          131072,                                8,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          2.34543,                         0.115565
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          2.61576,                         0.122997
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          3.27565,                         0.507194
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          4.20617,                         0.498945
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          2.92372,                         0.405745
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          2.53758,                         0.226613
                          131072,                                8,                              512,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,            fixed size (lockfree),                          2.82466,                         0.842985
